,first_tag,first_word,pmi,second_tag,second_word
0,S,а,8.07592896299912,S,выбор
1,S,а,11.3153948976945,S,мо
2,S,а,14.4853198991368,S,описы
3,S,а,9.25650120864094,V,рассмотрим
4,S,абсолютизации,12.222285493303,S,значимости
5,S,абсорбирования,11.9492669988966,S,ликвидности
6,S,абсорбции,14.0523604918607,S,безработных
7,S,абсорбционнная,14.9003573984157,S,способность
8,S,абсцисс,11.5593204805806,V,соответствуют
9,S,ав,11.8765106564613,S,срок
10,S,аванс,12.8765106564613,S,срок
11,S,авансов,15.222285493303,S,лизингополучателей
12,S,авансоемкость,12.0128321276741,S,лизинга
13,S,авансы,14.8072479940242,S,лизингополучателей
14,S,август,8.40530187004764,S,г
15,S,август,12.222285493303,S,сентябрь
16,S,австралии,12.6779649770792,V,произошел
17,S,австралия,13.4853198991368,S,бельгия
18,S,австралия,11.5593204805806,S,бразилия
19,S,австралия,8.0456967615797,S,год
20,S,австралия,12.3478163753869,S,канада
21,S,австрии,8.57602681331299,S,населения
22,S,австрия,11.5404614533293,S,германия
23,S,австрия,13.192538149909,S,греция
24,S,австрия,13.6779649770792,S,ф
25,S,авто,11.0523604918607,S,кредитам
26,S,автокорреляции,8.67796497707921,V,оказались
27,S,автокорреляции,9.48531989913682,S,остатков
28,S,автокорреляцию,12.8072479940242,S,остатков
29,S,автократия,14.4853198991368,S,позиция
30,S,автократиях,9.98069950673327,S,затраты
31,S,автоматизации,9.31940796020113,S,оценки
32,S,автомобилей,10.9246049446623,V,показывают
33,S,автомобилист,6.98069950673327,V,может
34,S,автомобилист,13.8072479940242,V,ожидает
35,S,автомобиль,15.4853198991368,V,производился
36,S,автономией,14.9003573984157,S,заказчиков
37,S,автономность,10.393620065,S,работы
38,S,автор,13.6779649770792,V,аппроксимировал
39,S,автор,13.6779649770792,V,благодарит
40,S,автор,12.0930024763581,V,вывел
41,S,автор,12.6779649770792,V,выражает
42,S,автор,13.6779649770792,V,вычисляет
43,S,автор,5.48320812265697,S,исследования
44,S,автор,11.0930024763581,V,исследует
45,S,автор,12.0930024763581,V,объяснял
46,S,автор,13.6779649770792,V,осознает
47,S,автор,10.5080399756369,V,отмечает
48,S,автор,9.87061005502161,V,оценивает
49,S,автор,13.6779649770792,V,подсчитал
50,S,автор,9.67796497707921,V,предлагает
51,S,автор,13.6779649770792,V,предостерегает
52,S,автор,11.0930024763581,V,придает
53,S,автор,12.6779649770792,V,пришел
54,S,автор,11.0930024763581,V,проводит
55,S,автор,10.2185333584419,V,рассматривает
56,S,автор,13.6779649770792,V,тестирует
57,S,автор,13.6779649770792,V,уделяет
58,S,автор,9.25170022237712,V,указывает
59,S,автора,8.75773974296908,S,банк
60,S,автора,13.0523604918607,V,исследовалось
61,S,автора,6.63450797697481,S,кредиты
62,S,авторам,13.9003573984157,V,удается
63,S,авторами,5.13681303412174,V,была
64,S,авторами,5.49061290387872,V,были
65,S,авторами,8.90940253801867,S,выводов
66,S,авторами,12.079327539461,S,государствам
67,S,авторами,5.38584058196166,S,метод
68,S,авторами,5.66147502457508,S,метода
69,S,авторами,4.30454047985981,S,модель
70,S,авторами,4.59148750563793,S,оценки
71,S,авторами,7.12513122907411,S,процедура
72,S,авторами,7.37888782131989,S,статьи
73,S,авторами,13.079327539461,V,стояла
74,S,авторег,18.8072479940242,S,рессия
75,S,авторегрессии,6.12557033881449,S,модель
76,S,авторегрессии,10.0930024763581,V,оценивается
77,S,авторегрессий,12.6373229925819,S,гетероскедастичность
78,S,авторегрессий,10.1137610365249,V,используют
79,S,авторегрессий,9.40850430208599,V,рассмотрим
80,S,авторегрессий,9.99346680280714,S,сравнение
81,S,авторегрессиям,6.79532192771737,V,является
82,S,авторитетом,16.222285493303,V,пользуется
83,S,авторов,8.24500556980311,V,делают
84,S,авторов,6.76695827299846,V,заключается
85,S,авторов,11.0523604918607,V,заключалась
86,S,авторов,12.0523604918607,V,игнорировать
87,S,авторов,7.5287985358037,V,используют
88,S,авторов,8.14546989625219,V,лежит
89,S,авторов,5.63450797697481,S,метода
90,S,авторов,8.24500556980311,V,приходят
91,S,автором,5.65765963050765,S,результаты
92,S,автором,11.2994533538255,S,список
93,S,автором,9.406368557742,S,статьи
94,S,автору,9.12776789451874,S,исследований
95,S,автору,13.6373229925819,V,отвергнуть
96,S,автору,10.2526591423465,V,сделать
97,S,авторы,7.81289455716532,V,анализируют
98,S,авторы,8.81289455716532,V,включали
99,S,авторы,7.72543171591498,V,включают
100,S,авторы,5.83561463366541,S,выборка
101,S,авторы,6.9060039615568,V,выбрали
102,S,авторы,7.64296955572301,V,выделяют
103,S,авторы,10.8128945571653,V,выражают
104,S,авторы,10.8128945571653,V,вычисляют
105,S,авторы,10.8128945571653,V,выявляли
106,S,авторы,10.490966462278,V,выявляют
107,S,авторы,7.00553963510772,V,делают
108,S,авторы,8.81289455716532,V,доказывают
109,S,авторы,8.00553963510772,S,доклада
110,S,авторы,9.81289455716532,V,заинтересовались
111,S,авторы,8.81289455716532,V,заключают
112,S,авторы,10.8128945571653,V,замечают
113,S,авторы,8.81289455716532,V,изучают
