,first_tag,first_word,pmi,second_tag,second_word
0,S,а,9.37685599888482,V,прибыл
1,S,аберистуите,15.6342438415775,S,уэльс
2,S,абсурдность,16.6342438415775,S,обвинений
3,S,августа,8.54678100032713,V,отправился
4,S,августа,7.29885348688354,S,приказом
5,S,авеню,16.6342438415775,S,норт
6,S,авиации,14.0492813408563,V,разгромить
7,S,авс,15.0492813408563,S,румыния
8,S,австро-венгрии,12.8268889195199,S,немцами
9,S,автобиографии,11.589849722219,S,вейдемана
10,S,автономовне,16.6342438415775,S,техницкой
11,S,автор,2.99716618443381,V,был
12,S,автор,10.9338041234364,V,взялся
13,S,автор,6.41024216737936,S,вопрос
14,S,автор,9.34884162271522,S,воспоминаний
15,S,автор,10.9338041234364,V,воспроизводит
16,S,автор,9.93380412343638,V,выделяет
17,S,автор,10.9338041234364,V,высказывает
18,S,автор,9.93380412343638,V,выстраивает
19,S,автор,8.93380412343638,V,дает
20,S,автор,6.61187602854901,S,земцов
21,S,автор,8.12644920137877,V,использовал
22,S,автор,10.9338041234364,V,исследовал
23,S,автор,8.61187602854901,V,касается
24,S,автор,7.34884162271522,S,книги
25,S,автор,9.34884162271522,S,множества
26,S,автор,6.41024216737936,S,монографии
27,S,автор,7.02691352782786,V,пишет
28,S,автор,7.93380412343638,V,показывает
29,S,автор,6.0758231283088,V,получил
30,S,автор,9.93380412343638,V,попытался
31,S,автор,10.9338041234364,V,предпримет
32,S,автор,10.9338041234364,V,привлек
33,S,автор,9.61187602854901,V,приводит
34,S,автор,9.93380412343638,V,приходит
35,S,автор,9.93380412343638,V,раскрывает
36,S,автор,8.34884162271522,S,рецензии
37,S,автор,9.93380412343638,V,сообщает
38,S,автор,9.93380412343638,V,ставил
39,S,автор,6.47437250479908,S,статьи
40,S,автор,9.93380412343638,V,уделил
41,S,автор,8.34884162271522,V,указывает
42,S,автора,9.5049608246325,V,вышла
43,S,автора,13.3123157466901,V,проникла
44,S,автора,8.66845955691538,V,является
45,S,авторитет,15.0492813408563,S,богодуховности
46,S,авторитету,15.0492813408563,S,бодуэна
47,S,авторов,9.26792162733165,S,вейдемана
48,S,авторов,12.7273532459689,S,иллюстраций
49,S,авторов,12.3123157466901,S,раздела
50,S,автором,10.4643188401352,S,книги
51,S,автором,9.58984972221902,S,статьи
52,S,автору,12.1106818855205,V,удалось
53,S,авторы,13.4643188401352,V,благодарят
54,S,авторы,12.4643188401352,V,пишут
55,S,авторы,9.00488722149786,S,статьи
56,S,авторы,13.4643188401352,V,считают
57,S,агента,9.99038765180274,S,генерала
58,S,агента,13.6342438415775,S,птицина
59,S,агентов,5.90292481055241,V,было
60,S,агентов,7.5049608246325,S,нквд
61,S,агентуры,6.63989040471861,V,было
62,S,агрессия,12.7273532459689,S,держав
63,S,адамова,15.0492813408563,S,нина
64,S,адамова,14.0492813408563,V,осветила
65,S,адонц,13.3123157466901,S,николай
66,S,адрес,9.99038765180274,S,генерала
67,S,адрес,14.6342438415775,S,президента
68,S,адрес,7.27669183695939,S,фон
69,S,адресе,13.6342438415775,S,семьи
70,S,адъютанта,9.42479047594852,S,штаба
71,S,адъютантом,11.1748122229402,S,начальник
72,S,адъютантом,10.5467810003271,S,управления
73,S,академии,6.37567780768754,V,был
74,S,академии,9.72735324596895,S,наук
75,S,актив,13.0492813408563,V,принял
76,S,активность,9.69172933623823,S,партизан
77,S,акцентированию,16.6342438415775,S,различий
78,S,алгоритм,12.1748122229402,S,действий
79,S,алдаров,16.6342438415775,S,галимзян
80,S,александр,7.91999832391135,S,александрович
81,S,александр,8.22485290543977,S,вейдеман
82,S,александр,11.9497456673054,S,викторович
83,S,александр,10.727353245969,S,семенович
84,S,александр,10.3123157466901,S,федорович
85,S,александра,10.961818499606,S,введенского
86,S,александра,12.5467810003271,S,викторовича
87,S,александра,12.5467810003271,S,кейзерлинга
88,S,александра,12.5467810003271,S,македонского
89,S,александра,12.0613541731569,S,солженицына
90,S,александра,12.5467810003271,S,шмемана
91,S,александре,14.6342438415775,S,вейдемане
92,S,александрович,4.30528847979614,V,был
93,S,александрович,5.88437441418063,S,фон
