,first_tag,first_word,pmi,second_tag,second_word
0,S,а,8.43238825895349,S,музея
1,S,а,8.4969285111482,S,н
2,S,а,9.29488473520355,S,формозов
3,S,абзац,18.482236808404,V,посвящает
4,S,абитуриенты,13.7273493062406,S,опрос
5,S,або,17.482236808404,S,турку
6,V,абсолютизировал,11.6878209420539,S,роль
7,S,абстракции,9.63674675745967,S,времени
8,S,аванс,17.482236808404,V,подошел
9,S,авантюриста,17.482236808404,S,тимофея
10,S,аввы,17.482236808404,S,дорофея
11,S,августа,10.0899193856253,V,состоялось
12,S,августе,8.03929331255532,S,корелин
13,S,августе,10.8972743076829,S,транспорт
14,S,августом,16.482236808404,S,посещения
15,S,авиагруппы,18.482236808404,S,полковника
16,S,авиации,12.4378426890456,S,флота
17,S,авиация,12.2534181179082,S,противника
18,S,авиация,12.5753462127955,S,союзников
19,S,авл,18.482236808404,S,геллий
20,S,авлению,16.482236808404,V,тер
21,S,авни,14.482236808404,S,кант
22,S,авни,17.482236808404,S,рабство
23,S,австрию,17.482236808404,V,прибыла
24,S,австрия,11.8098114664326,V,имели
25,S,австро-венгрией,18.482236808404,S,боснии
26,S,австро-венгрия,16.482236808404,V,пыталась
27,S,автобусах,17.482236808404,S,туристов
28,S,автоматизации,13.055972053702,S,ряда
29,S,автономией,10.5106932544533,S,работников
30,S,автономии,9.14238680551943,S,андреев
31,S,автономии,10.919994384183,V,возникла
32,S,автономии,13.7273493062406,S,микроструктур
33,S,автономии,13.7273493062406,V,разворачивалась
34,S,автономии,10.4054212113532,S,ст
35,S,автономии,10.0269095880995,S,украины
36,S,автономий,8.30481727041481,V,были
37,S,автономию,12.4598689953756,S,украины
38,S,автономия,14.3123118069617,S,края
39,S,автор,12.3529537914591,V,вложил
40,S,автор,8.89352217282179,S,воспоминаний
41,S,автор,8.89352217282179,V,выделяет
42,S,автор,9.54559886940148,V,выразил
43,S,автор,8.65251407331799,S,газеты
44,S,автор,7.30855967210063,V,говорит
45,S,автор,12.3529537914591,S,довестник
46,S,автор,9.26549095020875,S,доклада
47,S,автор,9.76799129073793,S,документа
48,S,автор,11.3529537914591,V,исследует
49,S,автор,8.35295379145908,S,книги
50,S,автор,10.7679912907379,V,констатировал
51,S,автор,7.68052844948759,S,концепции
52,S,автор,10.0310256965717,V,обращает
53,S,автор,9.35295379145908,V,обращается
54,S,автор,11.7679912907379,V,объяснял
55,S,автор,12.3529537914591,S,отзыва
56,S,автор,7.44606319585057,V,отмечает
